Average,,,,,,,,,,,,,,,,
 ==================== ,,,,,,,,,,,,,,,,
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Time,Type
Dendrite Straightness,0.472231,0.997607,0.951538,0.103156,0.988023,0.954834,0.991455,23.7885,25,,Dendrite,,,,6,
Dendrite Straightness,0.832952,1,0.968722,0.0368991,0.983666,0.94873,0.995117,30.0304,31,,Dendrite,,,,7,
Dendrite Straightness,0.738438,0.999165,0.967955,0.051795,0.98527,0.963257,0.994995,28.0707,29,,Dendrite,,,,8,
Dendrite Straightness,0.899959,0.995886,0.972081,0.0289759,0.981359,0.969025,0.99295,20.4137,21,,Dendrite,,,,9,
Dendrite Straightness,0.813609,0.999855,0.968144,0.039379,0.982647,0.965057,0.990356,25.1717,26,,Dendrite,,,,10,
Dendrite Straightness,0.885969,1,0.978059,0.0247797,0.985241,0.965408,0.99559,41.0785,42,,Dendrite,,,,11,
Dendrite Straightness,0.810877,0.999444,0.965807,0.0438051,0.983429,0.959534,0.994568,29.94,31,,Dendrite,,,,12,
Dendrite Straightness,0.815034,1,0.96795,0.0454127,0.986153,0.969849,0.990479,19.359,20,,Dendrite,,,,13,
Dendrite Straightness,0.785033,0.997045,0.961859,0.0542544,0.983891,0.962341,0.990967,14.4279,15,,Dendrite,,,,14,
Dendrite Straightness,0.798532,0.9989,0.958607,0.0497063,0.977982,0.943542,0.994568,25.8824,27,,Dendrite,,,,15,
Dendrite Time,0,0,0,0,0,0,0,0,38,s,Dendrite,,,,1,
Dendrite Time,137.785,137.785,137.785,0,137.785,137.785,137.785,5235.83,38,s,Dendrite,,,,2,
Dendrite Time,317.784,317.784,317.784,0,317.784,317.784,317.784,10169.1,32,s,Dendrite,,,,3,
Dendrite Time,497.771,497.771,497.771,0,497.771,497.771,497.771,12942,26,s,Dendrite,,,,4,
Dendrite Time,677.786,677.786,677.786,0,677.786,677.786,677.786,16944.7,25,s,Dendrite,,,,5,
Dendrite Time,857.786,857.786,857.786,0,857.786,857.786,857.786,21444.7,25,s,Dendrite,,,,6,
Dendrite Time,1037.79,1037.79,1037.79,0,1037.79,1037.79,1037.79,32171.4,31,s,Dendrite,,,,7,
Dendrite Time,1217.77,1217.77,1217.77,0,1217.77,1217.77,1217.77,35315.4,29,s,Dendrite,,,,8,
Dendrite Time,1397.79,1397.79,1397.79,0,1397.79,1397.79,1397.79,29353.5,21,s,Dendrite,,,,9,
Dendrite Time,1577.79,1577.79,1577.79,0,1577.79,1577.79,1577.79,41022.4,26,s,Dendrite,,,,10,
Dendrite Time,1757.79,1757.79,1757.79,0,1757.79,1757.79,1757.79,73827,42,s,Dendrite,,,,11,
Dendrite Time,1937.78,1937.78,1937.78,0,1937.78,1937.78,1937.78,60071.3,31,s,Dendrite,,,,12,
Dendrite Time,2117.79,2117.79,2117.79,0,2117.79,2117.79,2117.79,42355.8,20,s,Dendrite,,,,13,
Dendrite Time,2297.78,2297.78,2297.78,0,2297.78,2297.78,2297.78,34466.7,15,s,Dendrite,,,,14,
Dendrite Time,2477.79,2477.79,2477.79,0,2477.79,2477.79,2477.79,66900.4,27,s,Dendrite,,,,15,
Dendrite Time Index,1,1,1,0,1,1,1,38,38,,Dendrite,,,,1,
Dendrite Time Index,2,2,2,0,2,2,2,76,38,,Dendrite,,,,2,
Dendrite Time Index,3,3,3,0,3,3,3,96,32,,Dendrite,,,,3,
Dendrite Time Index,4,4,4,0,4,4,4,104,26,,Dendrite,,,,4,
Dendrite Time Index,5,5,5,0,5,5,5,125,25,,Dendrite,,,,5,
Dendrite Time Index,6,6,6,0,6,6,6,150,25,,Dendrite,,,,6,
Dendrite Time Index,7,7,7,0,7,7,7,217,31,,Dendrite,,,,7,
Dendrite Time Index,8,8,8,0,8,8,8,232,29,,Dendrite,,,,8,
Dendrite Time Index,9,9,9,0,9,9,9,189,21,,Dendrite,,,,9,
Dendrite Time Index,10,10,10,0,10,10,10,260,26,,Dendrite,,,,10,
Dendrite Time Index,11,11,11,0,11,11,11,462,42,,Dendrite,,,,11,
Dendrite Time Index,12,12,12,0,12,12,12,372,31,,Dendrite,,,,12,
Dendrite Time Index,13,13,13,0,13,13,13,260,20,,Dendrite,,,,13,
Dendrite Time Index,14,14,14,0,14,14,14,210,15,,Dendrite,,,,14,
Dendrite Time Index,15,15,15,0,15,15,15,405,27,,Dendrite,,,,15,
Dendrite Volume,0.01126,3.83368,0.646307,0.84293,0.315648,0.14209,0.811035,24.5597,38,µm^3,Dendrite,,,,1,
Dendrite Volume,0.0129889,13.0697,1.28326,2.38938,0.376968,0.177734,1.43555,48.7638,38,µm^3,Dendrite,,,,2,
Dendrite Volume,0.0144823,9.80458,1.06856,1.81022,0.424454,0.125,1.35156,34.1939,32,µm^3,Dendrite,,,,3,
Dendrite Volume,0.014004,4.58489,1.01666,1.17217,0.653774,0.147461,1.30371,26.4331,26,µm^3,Dendrite,,,,4,
Dendrite Volume,0.0158196,4.44795,1.17584,1.24718,0.704432,0.248047,1.53711,29.3961,25,µm^3,Dendrite,,,,5,
Dendrite Volume,0.0781943,4.27261,1.13629,1.10431,0.449233,0.248047,2.00586,28.4072,25,µm^3,Dendrite,,,,6,
Dendrite Volume,0.0131819,4.51224,0.901533,1.07985,0.351525,0.240234,1.17578,27.9475,31,µm^3,Dendrite,,,,7,
Dendrite Volume,0.0381163,3.93746,0.967662,1.02812,0.495575,0.264648,1.37402,28.0622,29,µm^3,Dendrite,,,,8,
Dendrite Volume,0.0383989,3.06435,1.00785,0.871457,0.709176,0.28418,1.50488,21.1648,21,µm^3,Dendrite,,,,9,
