Time,aSyn,aSyn,aSyn,aSyn-DMSO,aSyn-DMSO,aSyn-DMSO,aSyn_D2_13uM,aSyn_D2_13uM,aSyn_D2_13uM,aSyn_D3_0.67mM,aSyn_D3_0.67mM,aSyn_D3_0.67mM
7.116611,7696.333000,8172.333000,7652.333000,6063.000000,7170.000000,6942.000000,7393.333000,7572.333000,7819.333000,1665.333000,1611.333000,1798.333000
7.380195,7803.333000,8117.333000,7479.333000,5846.000000,7238.000000,6895.000000,7317.000000,7531.000000,7864.000000,1849.667000,1692.667000,1771.667000
7.643750,7629.667000,7950.667000,7546.667000,5822.333000,7126.333000,6851.333000,7298.667000,7340.667000,7794.667000,1945.667000,1718.667000,1737.667000
7.907333,7606.333000,7912.333000,7922.333000,6245.667000,7166.667000,6854.667000,7236.000000,7429.000000,7807.000000,2112.667000,1828.667000,1988.667000
8.170917,7932.333000,8133.333000,7804.333000,6332.667000,7209.667000,6974.667000,7411.333000,7526.333000,7836.333000,1871.000000,1829.000000,1990.000000
8.434500,7851.667000,8235.667000,7896.667000,6143.333000,7449.333000,7060.333000,7600.333000,7667.333000,7835.333000,2241.667000,1952.667000,2116.667000
8.698055,8101.000000,8364.000000,8112.000000,6302.667000,7608.667000,7192.667000,7465.000000,7769.000000,8017.000000,2267.667000,1972.667000,2152.667000
8.961638,7983.333000,8333.333000,8305.333000,6238.667000,7627.667000,7164.667000,7550.000000,7696.000000,8046.000000,2235.667000,2023.667000,2361.667000
9.225223,8108.000000,8362.000000,7998.000000,6634.000000,7708.000000,7156.000000,7517.000000,7907.000000,8121.000000,2298.000000,2116.000000,2509.000000
9.488806,8006.333000,8241.333000,7968.333000,6162.000000,7648.000000,7208.000000,7467.667000,7793.667000,8076.667000,2433.000000,2191.000000,2314.000000
9.752389,7831.667000,8141.667000,7930.667000,6126.667000,7528.667000,6965.667000,7518.667000,7689.667000,7888.667000,2422.000000,2236.000000,2290.000000
10.015940,7882.333000,8128.333000,7772.333000,6123.333000,7487.333000,7099.333000,7266.000000,7548.000000,7881.000000,2330.000000,2234.000000,2413.000000
10.279530,7990.000000,8226.000000,7879.000000,6605.667000,7630.667000,7129.667000,7360.333000,7580.333000,7818.333000,2389.333000,2295.333000,2446.333000
10.543110,8082.000000,8368.000000,8022.000000,6752.000000,7772.000000,7221.000000,7516.000000,7741.000000,7935.000000,2371.000000,2280.000000,2673.000000
10.806690,8204.000000,8406.000000,8179.000000,6673.333000,7924.333000,7309.333000,7615.000000,7963.000000,8099.000000,2628.000000,2505.000000,2600.000000
11.070280,8272.667000,8521.667000,8357.667000,6716.667000,8079.667000,7230.667000,7664.333000,7782.333000,8112.333000,2681.667000,2657.667000,2624.667000
11.333860,8360.333000,8453.333000,8137.333000,6912.333000,8084.333000,7373.333000,7644.333000,8092.333000,8136.333000,2527.667000,2572.667000,2855.667000
11.597420,8271.667000,8510.667000,8274.667000,6479.667000,8111.667000,7338.667000,7595.000000,7999.000000,8170.000000,2706.667000,2744.667000,2824.667000
11.861000,8319.333000,8538.333000,7980.333000,6654.333000,8104.333000,7387.333000,7666.000000,8056.000000,8187.000000,2705.667000,2873.667000,2897.667000
12.124580,8224.667000,8380.667000,7958.667000,6899.000000,7986.000000,7308.000000,7378.667000,7740.667000,8004.667000,2664.333000,2932.333000,2804.333000
12.388170,8286.000000,8417.000000,8299.000000,6616.333000,7992.333000,7311.333000,7464.667000,7729.667000,7930.667000,2636.000000,3080.000000,2843.000000
