frame,phenotype,cell,sample,intesnsity
2,WT,INNOS,50,0.70914763
2,WT,INNOS,51,0.944303312
2,WT,INNOS,52,0.943891425
2,WT,INNOS,53,1.014297484
2,WT,INNOS,54,0.96266865
2,WT,INNOS,55,1.047736394
2,WT,INNOS,56,1.475848713
2,WT,INNOS,57,1.235916072
2,WT,INNOS,58,0.819027037
2,WT,INNOS,59,1.219417583
2,WT,INNOS,60,0.950377202
2,WT,INNOS,61,1.043501718
2,WT,INNOS,62,1.15785749
2,WT,INNOS,63,0.948668147
2,WT,INNOS,64,1.093211474
2,NOS11,cPRC,65,0.826117733
2,NOS11,cPRC,66,0.797983915
2,NOS11,cPRC,67,1.142184573
2,NOS11,cPRC,68,1.073226772
2,NOS11,cPRC,69,1.012925429
2,NOS11,cPRC,70,0.98215447
2,NOS11,cPRC,71,1.157998037
2,NOS11,cPRC,72,1.184891181
2,NOS11,cPRC,73,1.100690564
2,NOS11,cPRC,74,1.067767979
2,NOS11,cPRC,75,1.060056687
2,NOS11,cPRC,76,1.142280358
2,NOS11,cPRC,77,1.017697693
2,NOS11,cPRC,78,1.047948037
2,NOS11,cPRC,79,1.02099896
2,NOS11,cPRC,80,1.097576113
2,NOS11,cPRC,81,1.029842534
2,NOS11,cPRC,82,1.101817386
2,NOS11,INNOS,83,0.903892541
2,NOS11,INNOS,84,0.892616061
2,NOS11,INNOS,85,0.805628924
2,NOS11,INNOS,86,0.806031363
2,NOS11,INNOS,87,0.669171737
2,NOS11,INNOS,88,0.99141684
2,NOS11,INNOS,89,0.920773889
2,NOS11,INNOS,90,0.862570064
2,NOS11,INNOS,91,0.977799326
2,NOS11,INNOS,92,0.968094694
2,NOS11,INNOS,93,0.922054543
2,NOS11,INNOS,94,1.016637808
2,NOS11,INNOS,95,1.07201306
2,NOS11,INNOS,96,0.920005637
2,NOS11,INNOS,97,0.936779784
2,NOS11,INNOS,98,0.993525531
2,NOS11,INNOS,99,0.973247524
2,NOS11,INNOS,100,1.064459013
2,NOS11,INNOS,101,0.967487998
2,NOS11,INNOS,102,0.971445347
2,NOS11,INNOS,103,1.250573011
3,WT,cPRC,2,1.010194455
3,WT,cPRC,3,0.945169285
3,WT,cPRC,4,1.011583543
3,WT,cPRC,5,0.873603693
3,WT,cPRC,6,0.942556163
3,WT,cPRC,7,0.919277627
3,WT,cPRC,8,0.986968915
3,WT,cPRC,9,1.000043101
3,WT,cPRC,10,1.037820258
3,WT,cPRC,11,1.051557245
3,WT,cPRC,12,1.074921439
3,WT,cPRC,13,1.019773511
3,WT,cPRC,14,0.924719985
3,WT,cPRC,15,0.902802891
3,WT,cPRC,16,1.064650868
3,WT,cPRC,17,1.004821949
3,WT,cPRC,18,1.076091934
3,WT,cPRC,19,1.05624216
3,WT,cPRC,20,1.12300922
3,WT,cPRC,21,1.185575754
3,WT,cPRC,22,0.976917207
3,WT,cPRC,23,1.060293835
3,WT,cPRC,24,1.31595426
3,WT,cPRC,25,1.239590433
3,WT,cPRC,26,1.055142492
3,WT,cPRC,27,1.075046415
3,WT,cPRC,28,0.994351516
3,WT,cPRC,29,0.911161445
3,WT,cPRC,30,0.971492175
3,WT,cPRC,31,1.094311392
3,WT,cPRC,32,1.073802284
3,WT,cPRC,33,1.078782477
3,WT,cPRC,34,1.219690682
3,WT,cPRC,35,1.048086199
3,WT,cPRC,36,0.993687778
3,WT,cPRC,37,1.018741364
3,WT,INNOS,38,0.976214667
3,WT,INNOS,39,1.026705086
3,WT,INNOS,40,1.00952851
3,WT,INNOS,41,0.749016192
3,WT,INNOS,42,0.98147229
3,WT,INNOS,43,1.014636935
3,WT,INNOS,44,0.982982755
3,WT,INNOS,45,0.933688484
3,WT,INNOS,46,1.005002154
3,WT,INNOS,47,0.99686009
3,WT,INNOS,48,1.059945955
3,WT,INNOS,49,1.08091584
3,WT,INNOS,50,0.706289625
3,WT,INNOS,51,0.934026746
3,WT,INNOS,52,0.942167622
3,WT,INNOS,53,1.015722083
3,WT,INNOS,54,0.935982152
3,WT,INNOS,55,1.04926776
3,WT,INNOS,56,1.481633376
3,WT,INNOS,57,1.230083599
3,WT,INNOS,58,0.839829599
3,WT,INNOS,59,1.155329584
3,WT,INNOS,60,0.961884654
3,WT,INNOS,61,1.040207854
3,WT,INNOS,62,1.137776991
3,WT,INNOS,63,0.943455684
3,WT,INNOS,64,1.074290224
3,NOS11,cPRC,65,0.828048249
3,NOS11,cPRC,66,0.791816107
3,NOS11,cPRC,67,1.132177992
3,NOS11,cPRC,68,1.065176786
3,NOS11,cPRC,69,1.01219113
3,NOS11,cPRC,70,0.95876018
3,NOS11,cPRC,71,1.193190911
3,NOS11,cPRC,72,1.188106815
3,NOS11,cPRC,73,1.112965033
3,NOS11,cPRC,74,1.057632399
3,NOS11,cPRC,75,1.056911272
3,NOS11,cPRC,76,1.117635071
3,NOS11,cPRC,77,1.027246643
3,NOS11,cPRC,78,1.049483319
3,NOS11,cPRC,79,1.033678843
3,NOS11,cPRC,80,1.099955177
3,NOS11,cPRC,81,1.021982341
3,NOS11,cPRC,82,1.068015108
3,NOS11,INNOS,83,0.896963534
3,NOS11,INNOS,84,0.878001019
3,NOS11,INNOS,85,0.813704265
3,NOS11,INNOS,86,0.811097708
3,NOS11,INNOS,87,0.689832894
3,NOS11,INNOS,88,0.989085357
3,NOS11,INNOS,89,0.709746195
3,NOS11,INNOS,90,0.876548336
3,NOS11,INNOS,91,0.997652343
3,NOS11,INNOS,92,0.975004506
3,NOS11,INNOS,93,0.910755324
3,NOS11,INNOS,94,1.017428292
3,NOS11,INNOS,95,1.068074686
3,NOS11,INNOS,96,0.879797078
3,NOS11,INNOS,97,0.952545141
3,NOS11,INNOS,98,0.982443894
3,NOS11,INNOS,99,0.988232696
3,NOS11,INNOS,100,1.060487151
3,NOS11,INNOS,101,1.027005083
3,NOS11,INNOS,102,0.982170467
3,NOS11,INNOS,103,1.240927323
4,WT,cPRC,2,1.00648418
4,WT,cPRC,3,0.93829963
4,WT,cPRC,4,1.025845149
4,WT,cPRC,5,0.872529879
4,WT,cPRC,6,0.941892678
4,WT,cPRC,7,0.918067396
4,WT,cPRC,8,0.99309986
4,WT,cPRC,9,0.993570726
4,WT,cPRC,10,1.034795205
4,WT,cPRC,11,1.055385415
4,WT,cPRC,12,1.067383804
4,WT,cPRC,13,1.025439028
4,WT,cPRC,14,0.923333192
4,WT,cPRC,15,0.906443322
4,WT,cPRC,16,1.043877308
4,WT,cPRC,17,1.001095599
4,WT,cPRC,18,1.067434964
4,WT,cPRC,19,1.062735213
4,WT,cPRC,20,1.116942582
4,WT,cPRC,21,1.184037108
4,WT,cPRC,22,0.984909336
4,WT,cPRC,23,1.039446475
4,WT,cPRC,24,1.300903521
4,WT,cPRC,25,1.231027045
4,WT,cPRC,26,1.050334056
4,WT,cPRC,27,1.077236898
4,WT,cPRC,28,0.984172021
4,WT,cPRC,29,0.917667044
4,WT,cPRC,30,0.971551425
